UniqueKey,Ranking,Resight ID,Name,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity
,Infrastructure,IND01897,Amit Kapur,8.4,Ranked 2nd,2,9,Ranked 3rd,8.5,10,9.8,8.9,8.6,Top 5,6.4,7.9,8.5,10
,Infrastructure,IND00462,Jatin Aneja,7.8,Ranked 3rd,3,7.6,Top 10,6.5,10,8.8,7.4,8.6,Top 5,4.7,7.7,9.8,9.5
,Infrastructure,IND01697,Hemant Sahai,7.7,Top 5,4,7.7,Top 5,6.5,10,8.8,8.2,7.9,,7.9,7.1,7,9.5
,Infrastructure,IND00754,Nayantara Nag,7.7,Top 5,5,7.7,Top 5,7.1,8.7,7.9,8.9,7.8,,4.4,6.5,8.9,9
,Infrastructure,IND00342,L Viswanathan,7.5,Top 10,6,9.2,Ranked 2nd,9.5,8.2,10,8.8,6.1,,7.7,0,9.7,8
,Infrastructure,IND00022,Akhil Bhatnagar,7.2,Top 10,7,5.7,Top 10,5.7,3.2,6.7,8.9,8,,5.1,7.7,8.4,9
,Infrastructure,IND02732,Avirup Nag,7.1,Top 10,8,6.6,Top 10,5.7,8.5,6.9,7.6,7.9,,5.1,7.4,9.2,8
,Infrastructure,IND00568,Anuja Tiwari,6.6,Top 10,9,5.7,Top 10,3.4,8.5,8.3,8.7,7.6,,5.3,5.4,9.8,8.5
,Infrastructure,IND00079,Gahan Singh,6.2,Top 10,10,3.5,,3.4,3.2,7,0,8.2,Top 10,7.8,6.8,9.6,8.5
,Infrastructure,IND02740,Mohit Saraf,6.2,,11,3.9,,0,8.2,8.3,10,7.6,,5.1,6.8,8.2,8.5
,Infrastructure,IND01264,Anjan Dasgupta,5.9,,12,3.8,,0,9.2,7.2,9.1,8.1,,6.6,8.1,7.3,9.5
,Infrastructure,IND06176,Manasvini Raj,5.7,,13,1.8,,0,0,6.2,8.2,8.7,Ranked 2nd,8.7,7.1,9.4,9.5
,Infrastructure,IND00070,Dibyanshu Sinha,5.7,,14,3.5,,0,8.7,6.9,7.2,6.9,,5.3,4.5,8.7,8
,Infrastructure,IND00398,Subhalakshmi Naskar,5.7,,15,4.8,Top 10,4.7,3.2,5.9,6.9,5.5,,5.7,0,8,8.5
,Infrastructure,IND00381,Sangita John,5.6,,16,1.8,,0,0,7.6,6.9,8.7,Ranked 3rd,7.9,8,10,8.5
,Infrastructure,IND00401,Surya Sreenivasan,5.6,,17,1.9,,0,0,7.7,7.9,8.4,Top 10,7.1,7.3,8.8,9.5
,Infrastructure,IND00364,Ramanuj Kumar,5.5,,18,1.9,,0,0,8.1,7.3,9.5,Ranked 1st,7.9,10,9.9,9
,Infrastructure,IND02943,Akshay Malhotra,5.5,,19,2.9,,0,5.3,6.3,8.5,7.7,,5.5,6,9.5,8.5
,Infrastructure,IND01472,Aakanksha Joshi,5.5,,20,4.1,,0,9.6,9,8.1,7.4,,4.7,7.2,8.4,7.5
,Infrastructure,IND01701,Soumya Malik,5.5,,21,3.1,,0,5.3,8.2,7.9,7.6,,7.4,7.3,6.1,9.5
,Infrastructure,IND07529,Deepak Sabharwal,5.5,,22,1.9,,0,0,6.7,9.1,8.2,Top 10,7,7.6,9.3,8
,Infrastructure,IND00609,Aditya Periwal,5.4,,23,3.8,,3.4,0,7.6,8.3,6.3,,5.3,4.5,5.7,9
,Infrastructure,IND02631,Gunita Pahwa,5.4,,24,2.1,,0,0,8.2,8.5,8.4,Top 10,7.1,6.7,9.8,9
,Infrastructure,IND02538,Pallavi Bedi,5.4,,25,3.7,,0,8.5,8.2,8.1,7.3,,5.8,6.6,7.3,8.5
,Infrastructure,IND00211,Shivanshu Thaplyal,5.3,,26,2.3,,0,3.2,5.9,8.3,7.3,,8,6.8,6.3,8.5
,Infrastructure,IND00652,Mallika Anand,5.2,,27,1.9,,0,0,7.7,7.6,7.5,,6,4.6,9.5,9
