Resight ID,Ranking,@Image path,Name,Position,Location,Organisation,Bio,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity,Sophistication score,Sophistication rank badge,S Tech and data,S Pricing,S Talent development,Experience score,Experience rank badge,E Service,E Expertise,E Commerciality,E Communication,E EQ,E Strategy,E Network,E Leadership
IND00323,Capital Markets - Equity,Photos/Gokul-Rajan-1.png,Gokul Rajan,Partner - Regional Head Markets Practice (North),Delhi,Cyril Amarchand Mangaldas,,6.6,,20,5.1,,2.7,8.2,7.6,7.7,8.3,,6.1,9.2,9.8,8,6.4,,6,6,7,9.5,Top 5,10,10,10,10,10,10,10,10
IND02649,Capital Markets - Equity,Photos/Jitesh-Shahani-GS.jpeg,Jitesh Shahani,Partner,Mumbai,S&R Associates,,6.3,,21,5.1,,3.7,6.2,6.4,8.1,7,,4.2,8.3,10,6,7.1,,7.3,5,8,-,,-,-,-,-,-,-,-,-
IND01752,Capital Markets - Equity,Photos/Ravi-Dubey.png,Ravi Dubey,Partner,Mumbai,Cyril Amarchand Mangaldas,,6.3,,22,4.9,,2.7,7.2,6.8,9.2,7.5,,7.6,9,7.8,5.8,6.5,,6.7,5,7,-,,-,-,-,-,-,-,-,-
IND00698,Capital Markets - Equity,Photos/Albin-Thomas-1.png,Albin Thomas,Partner,Mumbai,Trilegal,,5.9,,23,2.4,,0,2.9,6.2,9.5,8.8,Top 10,8.4,8.6,9.9,8.5,7.1,,8.7,6,6,-,,-,-,-,-,-,-,-,-
IND06252,Capital Markets - Equity,Photos/Aashima-Johur.png,Aashima Johur,Partner,,Cyril Amarchand Mangaldas,,5.7,,24,2.4,,0,2.9,6.7,8.4,8.1,,7.4,8.6,6.3,8.8,7.7,Top 10,7.3,8,8,8.5,,10,10,10,10,10,10,10,10
IND02650,Capital Markets - Equity,Photos/Juhi-Singh-GS-1.jpg,Juhi Singh,Partner,Delhi,S&R Associates,,5.7,,25,3.2,,0,6.6,6.9,8.6,7.5,,4.7,8.2,9.8,7.2,7.3,,7.3,6,8,8.5,,10,10,10,10,10,10,10,10
IND00371,Capital Markets - Equity,Photos/Reuben Chacko - ECM.jpg,Reuben Chacko,Partner  - Regional Co-head Markets Practice (South),Bengaluru,Cyril Amarchand Mangaldas,,5.7,,26,3,,5,1,0,0,7.6,,7.5,8.3,4.7,10,7.6,Top 10,8.7,-,-,-,,-,-,-,-,-,-,-,-
IND03708,Capital Markets - Equity,Photos/Abhinav Maver - ECM.png,Abhinav Maker,Partner,,Trilegal,,5.7,,27,2.3,,0,2.9,6,8.4,8.2,,7.8,8,8.9,8.2,7.4,,8,7,-,-,,-,-,-,-,-,-,-,-
IND01046,Capital Markets - Equity,Photos/Vishnu Dutt.jpg,Vishnu Dutt U,Partner,Mumbai,Bharucha & Partners,,5.7,,28,3,,0,5.3,7.3,8.7,7.8,,7.9,7.6,8.8,7.5,6.6,,6,5,8,9.5,Top 5,10,10,10,10,10,10,10,10
IND02647,Capital Markets - Equity,Photos/Pratichi-Mishra-GS.jpeg,Pratichi Mishra,Partner,Mumbai,S&R Associates,,5.6,,29,2.3,,0,4.7,4.4,7.5,7.9,,4.7,9.1,8.4,8.5,7.5,,7.3,7,8,7.6,,10,10,8,8,8,8,10,8
